Cell_ID,Centroid_X,Centroid_Y
c834e72d-b65c-4351-97ac-4683f9cc0b7e,-894.2904564999999,-327.858759456
13817f4e-5cff-46a2-83aa-785b6f21510d,-872.4253435,-439.100657156
16660fbf-4687-4dfe-9432-da389c291320,-871.3883635000002,-352.568218956
6d993ce8-7849-454f-9126-29b40287a53d,-869.7724855000001,-382.865937756
d8963385-9655-49fe-80b6-430ee3d74bfd,-867.1293845,-347.055049056
d5a03c2a-6587-4d24-b440-6ae80c52de6a,-867.5468375,-452.64707965599996
b1efa826-cb3d-4b2a-b4e4-17655624b724,-845.5175555000001,-338.38346955599997
62ff53ff-9770-4879-af0b-ea773dd19592,-833.7125165000002,-317.712635656
200353ad-69ae-441c-9c5f-aa6bb59cb28c,-828.6879395000001,-416.417849156
372b3278-f9f6-4023-bf30-1bfd3335dee0,-825.3859505,-382.122460456
869292e2-c1bc-40e6-96bc-2b6f23729c6a,-819.4763225000002,-318.83418505599997
dc823f1d-e402-4f05-8c41-c64a8b832ae8,-814.0061235000003,-468.325762056
07516689-44b2-4f85-9d15-1342e9b22f1c,-816.3049974999999,-430.619833756
c517a61c-78be-4e7a-895d-12151d116ca3,-798.8928725000001,-381.287009856
16015e1c-6a34-44d8-8ffb-0a87a9b1312a,-795.9887795,-421.150086656
f129ce6e-46ae-485d-a2b6-5a6bd05daec9,-794.7658445000002,-319.094514656
28efbc3f-d155-4dc4-9c53-0040f2b217fc,-789.8803925000002,-464.787994556
724948d2-c9f6-4168-b6d9-328009994045,-788.4785885000001,-438.99396245599996
e31aad56-414d-4145-bafc-17d2bc76a32c,-781.1437805,-445.776594856
947b0587-c6d4-4c05-a392-168bb792cd75,-776.2587014999999,-385.788271256
b3a796b4-fc48-4684-ae02-efe5a95a1df9,-774.8804415,-338.464967456
acc95f10-997f-4f8b-bff2-e18e6cfb14e9,-760.8853635,-332.153332256
824acb4f-9431-46a9-807f-1ffc5e560a75,-757.9509994999999,-465.103657856
47789038-4486-44d0-ae16-e1e1bca8af00,-755.1477465000003,-315.409409956
f264974c-1bab-4674-a2cb-2e225156a787,-749.8343055,-443.29750675599996
8e06b7c4-91dc-44d8-b076-7cc8c3178d1f,-747.2493215,-411.49966505599997
9536f5c5-d508-4fe0-93b7-ab8dca017090,-742.6193315,-306.086868156
54277caa-5016-4f64-85ac-7f3e0add29cb,-724.6274785,-390.912448156
7760776b-e33f-4ed4-b173-67e1a6309c16,-722.0503134999999,-343.675380356
029c63b4-8c39-4a20-940a-aea8ffad6e1e,-717.8603754999999,-456.215472456
dbbdcd2a-bfe6-4802-9d6a-d77fb2554754,-716.1681404999999,-363.859055356
c987cf85-3076-4417-a53a-cdea8eae40be,-889.2343985000002,-358.534627556
45963b89-e234-43eb-8392-8ae6fb35d29f,-882.7992454999999,-358.167263456
506c2765-df7a-420c-96e8-ca44398d88e8,-843.2573235,-424.839978156
dbff7f90-24ef-41c1-8745-2f0eaca5067e,-829.9798045000002,-359.932231656
78d2d8c6-cc70-442b-92ae-7003e224b380,-822.0204155000001,-352.569946556
54a90adc-44e2-4b9e-8cc8-ab9dfbc43734,-820.2628454999999,-371.12106505599996
87c10e7f-9441-4bd8-a7fc-4f2d2f961276,-798.7322355000001,-488.929926856
5ad0ab8c-ba36-4858-9e75-6a92f9fd55fa,-775.1608584999999,-357.464625056
c4ac77bc-5a90-4de5-8d31-a4100b92ee18,-761.7409554999999,-418.602206056
e1f16647-eac9-40a3-b82e-7f3cb816f9f6,-742.6162095,-426.88510975599996
bd742364-4817-4a94-a2d6-a3d859a1e2fb,-744.1303185000002,-399.977396856
bb3aeb80-aae8-4f62-bf06-b58a8ad28c66,-835.4596555000003,-394.855745256
b12725e4-b7a2-4498-bfe4-77a673ab524e,-769.1436345000002,-446.952126456
ad35863a-a1d7-4b89-ad10-999a86f1eef2,-739.7108555,-446.417229556
bd82d6e3-f98b-4e5e-9504-c18310adc4b6,-778.3457395,-367.272073456
e5fd061d-cf3f-4fbe-935d-4eba4fae2bdd,-841.4406585000002,-362.32164885599997
eb017c27-5d7a-4a4a-9608-976c15d06c98,-902.7703824999999,-233.18261455599998
d7d5699b-e89f-404c-a92c-44fb8f23cb82,-897.8033845,-194.885140856
e59697b6-9c06-40f0-8f55-06203b5e636d,-898.4804684999999,-221.78169335599998
d1a82003-6458-4ade-86a5-e4a7cf9192e4,-888.8583604999999,-138.62693025599998
74ad7777-bb19-4809-9282-a7a95704cbea,-882.3428715,-285.847858156
273de0f1-f8f4-4c18-a6d2-df7694e832ac,-880.2365795000001,-237.92999965599998
